Client Order ID,Instrument,Side,Quantity,Price
o000193,Rose,1,410,11.5
o000194,Orchid,1,250,13.0
o000195,Tulip,2,930,19.0
o000196,Orchid,2,130,13.0
o000197,Lotus,1,470,12.5
o000198,Lotus,1,910,18.5
o000199,Lavender,2,60,10.5
o000200,Orchid,2,900,12.0
o000201,Tulip,1,20,19.0
o000202,Lotus,2,620,17.0
o000203,Lotus,1,70,14.0
o000204,Tulip,1,90,16.0
o000205,Tulip,1,740,10.5
o000206,Lavender,1,730,14.5
o000207,Rose,1,160,18.5
o000208,Tulip,1,1000,18.0
o000209,Tulip,2,570,14.5
o000210,Orchid,2,400,19.0
o000211,Orchid,1,790,11.5
o000212,Lavender,1,340,11.0
o000213,Lavender,1,230,18.5
o000214,Rose,1,10,16.5
o000215,Tulip,2,380,10.5
o000216,Lavender,2,910,14.5
o000217,Tulip,1,880,13.5
o000218,Lotus,1,550,11.5
o000219,Orchid,1,830,12.0
o000220,Lotus,1,100,10.5
o000221,Lavender,2,770,19.0
o000222,Lotus,2,160,17.0
o000223,Lotus,2,350,18.0
o000224,Orchid,2,570,11.0
o000225,Orchid,1,560,15.0
o000226,Orchid,2,40,11.0
o000227,Lavender,1,980,14.0
o000228,Orchid,1,980,12.5
o000229,Tulip,2,360,12.5
o000230,Orchid,2,820,17.5
o000231,Rose,2,450,16.5
o000232,Lotus,2,860,11.5
o000233,Lavender,2,530,17.5
o000234,Lotus,2,980,18.5
o000235,Rose,2,120,15.0
o000236,Lotus,2,150,16.0
o000237,Orchid,1,850,18.5
o000238,Tulip,2,70,13.0
o000239,Orchid,2,800,17.5
o000240,Tulip,1,270,14.0
o000241,Orchid,1,370,17.0
o000242,Tulip,1,40,19.5
o000243,Lavender,1,400,18.5
o000244,Rose,2,120,13.5
o000245,Rose,2,160,12.0
o000246,Tulip,2,660,14.0
o000247,Tulip,2,610,13.5
o000248,Tulip,1,500,13.0
o000249,Orchid,1,90,14.0
o000250,Tulip,2,650,14.0
o000251,Rose,2,930,14.5
o000252,Orchid,2,200,17.0
o000253,Orchid,2,450,15.0
o000254,Orchid,2,590,15.0
o000255,Lavender,1,740,16.0
o000256,Lavender,2,60,15.0
o000257,Tulip,2,500,12.0
o000258,Tulip,1,170,18.0
o000259,Orchid,2,130,17.0
o000260,Rose,2,20,12.0
o000261,Tulip,1,100,17.5
o000262,Lotus,2,800,16.0
o000263,Rose,2,870,18.5
o000264,Tulip,2,810,17.5
o000265,Orchid,1,800,11.0
o000266,Lavender,2,300,11.0
o000267,Tulip,1,980,11.5
o000268,Tulip,1,890,14.5
o000269,Rose,1,420,10.5
o000270,Lotus,2,480,16.5
o000271,Lavender,1,680,16.5
o000272,Orchid,1,220,12.5
o000273,Rose,2,800,13.5
o000274,Tulip,1,300,17.0
o000275,Lotus,2,330,10.0
o000276,Tulip,2,870,18.5
o000277,Lavender,1,570,15.5
o000278,Orchid,2,820,16.5
o000279,Lotus,2,390,13.0
o000280,Tulip,2,140,13.5
o000281,Tulip,2,740,14.5
o000282,Lotus,1,850,16.0
o000283,Lotus,1,730,10.5
o000284,Orchid,2,370,13.5
o000285,Orchid,2,290,13.0
o000286,Orchid,2,870,12.0
o000287,Rose,1,400,17.0
o000288,Rose,2,940,12.0
o000289,Rose,2,420,16.5
o000290,Lavender,1,170,18.5
o000291,Lotus,2,220,14.0
o000292,Tulip,2,960,15.0
o000293,Rose,2,100,12.0
o000294,Lavender,2,720,15.5
o000295,Rose,2,20,14.0
o000296,Orchid,1,590,15.5
o000297,Lotus,2,820,15.5
o000298,Rose,1,610,10.0
o000299,Orchid,2,790,13.5
o000300,Rose,2,900,14.5
o000301,Tulip,1,180,10.5
o000302,Rose,2,640,11.5
o000303,Rose,1,690,12.0
o000304,Tulip,2,480,18.5
o000305,Tulip,1,540,11.5
o000306,Tulip,2,360,10.5
o000307,Lotus,1,570,17.0
o000308,Lavender,2,130,15.5
o000309,Orchid,2,80,16.0
o000310,Lotus,1,160,17.0
o000311,Rose,1,830,19.5
o000312,Rose,1,430,13.5
o000313,Lavender,1,90,18.5
o000314,Lavender,1,300,15.0
o000315,Lavender,1,360,12.0
o000316,Lavender,2,230,11.5
o000317,Rose,1,20,15.5
o000318,Lavender,2,30,12.5
o000319,Lotus,1,170,16.5
o000320,Orchid,1,960,11.0
o000321,Tulip,2,1000,15.5
o000322,Orchid,1,580,18.0
o000323,Lavender,1,940,18.0
o000324,Lotus,2,830,10.0
o000325,Rose,2,520,16.5
o000326,Rose,2,920,17.0
o000327,Rose,1,420,19.5
o000328,Lavender,1,170,14.0
o000329,Orchid,2,490,19.5
o000330,Orchid,2,590,18.0
o000331,Orchid,2,130,11.5
o000332,Orchid,1,560,17.0
o000333,Lavender,2,440,17.0
o000334,Tulip,2,940,11.5
o000335,Lotus,2,410,14.0
o000336,Lotus,1,880,17.5
o000337,Rose,1,110,11.0
o000338,Tulip,1,960,15.5
o000339,Lavender,1,760,18.5
o000340,Orchid,2,860,11.5
o000341,Tulip,2,860,16.5
o000342,Rose,2,770,14.5
o000343,Lotus,1,740,18.0
o000344,Lavender,1,850,17.5
o000345,Lavender,1,450,18.5
o000346,Lotus,1,980,14.0
o000347,Orchid,1,550,18.5
o000348,Orchid,1,780,14.0
o000349,Rose,1,350,14.5
o000350,Lotus,2,10,12.5
o000351,Lavender,2,90,12.0
o000352,Rose,1,960,18.0
o000353,Lavender,2,540,17.0
o000354,Lotus,1,480,14.5
o000355,Lotus,1,70,12.0
o000356,Lavender,1,870,11.0
o000357,Lotus,2,850,16.5
o000358,Tulip,2,540,14.0
o000359,Lavender,1,450,16.5
o000360,Rose,2,870,19.0
o000361,Tulip,2,60,13.5
o000362,Tulip,1,10,13.0
o000363,Lotus,1,990,12.0
o000364,Lotus,2,420,11.5
o000365,Rose,2,960,16.5
o000366,Lavender,1,490,18.5
o000367,Lavender,2,100,16.0
o000368,Rose,2,30,17.0
o000369,Rose,2,740,16.5
o000370,Orchid,2,910,16.5
o000371,Lotus,1,520,10.0
o000372,Lotus,1,800,17.0
o000373,Lotus,1,560,11.5
o000374,Lavender,2,760,16.0
o000375,Orchid,1,510,14.5
o000376,Lotus,1,430,12.5
o000377,Rose,1,680,18.0
o000378,Lavender,2,450,12.0
o000379,Lavender,1,190,14.0
o000380,Lavender,1,780,12.0
o000381,Rose,1,990,17.5
o000382,Tulip,2,880,19.0
o000383,Orchid,2,810,15.0
o000384,Lavender,2,90,17.5
o000385,Tulip,2,360,19.0
o000386,Rose,2,650,11.0
o000387,Lotus,2,580,10.5
o000388,Rose,2,370,11.0
o000389,Rose,2,600,19.0
o000390,Orchid,1,580,19.0
o000391,Lavender,2,780,17.5
o000392,Orchid,1,80,17.0
o000393,Rose,2,920,11.0
o000394,Orchid,1,60,13.5
o000395,Tulip,2,680,18.0
o000396,Orchid,1,470,15.5
o000397,Lotus,2,530,15.0
o000398,Orchid,1,810,15.0
o000399,Rose,2,130,18.5
o000400,Tulip,2,330,19.5
o000401,Lavender,2,110,19.0
o000402,Lavender,2,400,16.0
o000403,Lavender,1,400,18.5
o000404,Tulip,2,170,18.0
o000405,Rose,2,660,15.5
o000406,Rose,2,400,12.5
o000407,Lavender,2,990,17.5
o000408,Lavender,1,180,12.0
o000409,Rose,2,130,18.0
o000410,Orchid,1,850,15.0
o000411,Orchid,1,770,16.0
o000412,Lavender,1,240,19.5
o000413,Lavender,2,60,16.5
o000414,Lotus,1,570,19.5
o000415,Lotus,2,300,18.5
o000416,Lavender,2,610,13.0
o000417,Lotus,2,600,14.5
o000418,Tulip,2,210,13.0
o000419,Orchid,1,330,10.5
o000420,Tulip,2,710,11.5
o000421,Orchid,1,370,11.0
o000422,Lavender,2,580,18.0
o000423,Lavender,2,120,13.5
o000424,Tulip,2,40,16.5
o000425,Rose,2,650,15.5
o000426,Lavender,2,110,15.5
o000427,Lavender,1,410,11.5
o000428,Lotus,1,180,10.5
o000429,Lotus,2,900,12.0
o000430,Tulip,2,790,10.0
o000431,Rose,1,330,13.0
o000432,Lavender,2,150,14.5
o000433,Lavender,2,160,10.5
o000434,Lavender,2,820,19.5
o000435,Tulip,1,150,17.5
o000436,Orchid,1,810,18.0
o000437,Orchid,1,920,12.0
o000438,Lotus,2,10,19.5
o000439,Lotus,1,740,16.5
o000440,Lavender,1,680,15.5
o000441,Rose,1,500,17.5
o000442,Rose,2,480,14.0
o000443,Rose,2,90,15.5
o000444,Lavender,1,990,19.0
o000445,Lotus,1,60,15.5
o000446,Orchid,2,830,12.5
o000447,Tulip,2,810,12.5
o000448,Lavender,1,920,17.0
o000449,Rose,2,260,10.5
o000450,Lavender,1,410,14.5
o000451,Orchid,2,700,17.5
o000452,Lotus,1,970,13.0
o000453,Lotus,2,1000,10.5
o000454,Lotus,2,160,15.5
o000455,Tulip,2,960,17.0
o000456,Tulip,2,240,17.5
o000457,Tulip,2,670,14.0
o000458,Rose,2,110,16.5
o000459,Orchid,1,700,14.5
o000460,Lotus,1,110,15.0
o000461,Lotus,2,580,19.5
o000462,Tulip,1,890,17.0
o000463,Lotus,2,60,15.5
o000464,Orchid,2,360,10.5
o000465,Rose,2,470,18.0
o000466,Lavender,1,190,19.5
o000467,Tulip,1,170,11.0
o000468,Lavender,2,470,16.0
o000469,Orchid,1,780,12.0
o000470,Tulip,2,480,17.0
o000471,Rose,1,680,15.5
o000472,Tulip,2,840,14.0
o000473,Lavender,1,40,12.5
o000474,Tulip,2,720,11.5
o000475,Lotus,2,910,17.0
o000476,Lavender,2,890,17.5
o000477,Lavender,1,180,11.0
o000478,Tulip,1,920,17.0
o000479,Rose,2,860,15.5
o000480,Rose,2,390,12.5
o000481,Lavender,2,660,13.5
o000482,Rose,1,180,13.5
o000483,Tulip,1,470,18.5
o000484,Orchid,2,600,18.5
o000485,Lavender,1,90,14.5
o000486,Tulip,2,680,16.5
o000487,Tulip,1,170,15.0
o000488,Rose,2,600,18.0
o000489,Lotus,1,1000,18.5
o000490,Orchid,1,990,12.0
o000491,Tulip,1,160,18.0
o000492,Lavender,2,220,12.5
o000493,Lotus,1,450,18.0
o000494,Lotus,1,330,13.0
o000495,Orchid,2,170,14.5
o000496,Orchid,1,650,12.5
o000497,Orchid,1,220,19.5
o000498,Orchid,2,730,10.5
o000499,Rose,1,60,19.0
o000500,Lotus,1,990,19.0
o000501,Tulip,1,640,18.5
o000502,Lotus,2,620,13.5
o000503,Tulip,2,590,11.0
o000504,Rose,1,570,16.5
o000505,Tulip,2,270,15.0
o000506,Orchid,1,410,15.0
o000507,Lotus,2,170,15.5
o000508,Orchid,1,410,13.5
o000509,Tulip,1,350,17.0
o000510,Lavender,1,130,10.5
o000511,Lotus,2,790,16.5
o000512,Lavender,1,420,19.0
o000513,Lotus,1,980,12.5
o000514,Tulip,2,640,14.5
o000515,Tulip,1,120,16.0
o000516,Orchid,2,310,13.0
o000517,Orchid,2,70,10.5
o000518,Lotus,2,770,17.5
o000519,Lotus,1,140,16.5
o000520,Lavender,2,940,15.5
o000521,Tulip,2,60,16.0
o000522,Rose,1,470,18.5
o000523,Lotus,1,500,18.0
o000524,Tulip,2,800,19.5
o000525,Rose,1,130,16.0
o000526,Lotus,2,720,15.5
o000527,Lavender,1,780,18.0
o000528,Tulip,1,60,10.5
o000529,Lavender,2,610,18.0
o000530,Tulip,1,780,18.0
o000531,Lavender,2,790,15.0
o000532,Lavender,2,790,14.5
o000533,Orchid,2,650,18.0
o000534,Orchid,2,910,19.0
o000535,Lotus,2,30,15.5
o000536,Lotus,1,540,19.0
o000537,Lotus,1,770,17.5
o000538,Lotus,1,930,10.5
o000539,Orchid,2,220,18.0
o000540,Orchid,2,190,13.5
o000541,Rose,1,250,10.0
o000542,Tulip,2,540,12.0
o000543,Tulip,1,530,18.0
o000544,Orchid,2,950,10.5
o000545,Lavender,1,720,15.0
o000546,Tulip,2,410,12.5
o000547,Tulip,2,700,15.5
o000548,Lotus,2,250,13.5
o000549,Lotus,2,290,14.5
o000550,Lotus,1,890,17.5
o000551,Lotus,2,450,18.5
o000552,Lotus,2,160,19.0
o000553,Orchid,2,510,15.5
o000554,Lavender,2,60,14.5
o000555,Rose,2,570,14.0
o000556,Tulip,1,260,18.5
o000557,Lotus,2,180,11.5
o000558,Orchid,1,320,10.5
o000559,Orchid,1,820,13.5
o000560,Rose,1,530,15.0
o000561,Tulip,1,880,12.0
o000562,Rose,1,530,17.5
o000563,Tulip,1,970,14.5
o000564,Lotus,2,830,10.5
o000565,Rose,1,690,10.5
o000566,Lavender,2,230,10.5
o000567,Tulip,2,240,14.5
o000568,Rose,1,390,19.0
o000569,Orchid,1,430,14.5
o000570,Tulip,2,180,18.0
o000571,Tulip,2,250,11.5
o000572,Lotus,1,940,17.0
o000573,Lotus,1,20,15.0
o000574,Lotus,1,230,19.5
o000575,Tulip,2,660,15.0
o000576,Rose,2,860,11.5
o000577,Lavender,1,620,15.0
o000578,Lavender,1,340,16.0
o000579,Lavender,2,970,14.0
o000580,Lotus,2,750,19.0
o000581,Rose,2,840,15.5
o000582,Lavender,1,860,11.5
o000583,Tulip,2,210,16.0
o000584,Orchid,2,890,11.5
o000585,Lotus,2,790,13.5
o000586,Lavender,1,620,12.0
o000587,Tulip,2,540,18.5
o000588,Tulip,1,980,13.5
o000589,Orchid,1,680,17.0
o000590,Orchid,2,100,19.0
o000591,Rose,1,710,18.0
o000592,Lavender,1,220,15.0
o000593,Orchid,2,150,13.0
o000594,Orchid,2,120,18.0
o000595,Tulip,1,590,12.0
o000596,Orchid,2,590,19.0
o000597,Rose,2,870,14.5
o000598,Rose,2,330,10.0
o000599,Lavender,1,60,16.5
o000600,Lotus,1,700,10.5
o000601,Rose,2,50,14.5
o000602,Tulip,1,990,12.0
o000603,Tulip,2,490,17.0
o000604,Tulip,2,110,18.5
o000605,Lavender,2,160,12.5
o000606,Orchid,2,680,12.0
o000607,Lavender,1,970,10.0
o000608,Lotus,2,870,18.5
o000609,Tulip,2,300,13.5
o000610,Tulip,2,200,14.0
o000611,Lavender,1,50,16.5
o000612,Orchid,1,310,13.0
o000613,Rose,1,770,10.5
o000614,Tulip,1,320,10.5
o000615,Tulip,2,300,18.5
o000616,Lavender,1,180,18.0
o000617,Lotus,1,940,19.0
o000618,Lotus,2,310,14.5
o000619,Lavender,1,530,14.5
o000620,Lotus,1,720,19.0
o000621,Lavender,2,720,17.5
o000622,Rose,2,830,16.0
o000623,Orchid,2,900,16.5
o000624,Tulip,1,390,16.0
o000625,Lavender,2,310,13.5
o000626,Lotus,1,600,10.5
o000627,Orchid,2,540,18.5
o000628,Orchid,1,500,13.5
o000629,Lotus,1,430,11.0
o000630,Tulip,2,120,18.5
o000631,Lavender,1,350,16.0
o000632,Orchid,1,100,13.0
o000633,Orchid,1,620,13.0
o000634,Lotus,2,20,13.0
o000635,Lavender,1,960,17.5
o000636,Lavender,1,510,13.5
o000637,Orchid,2,1000,14.5
o000638,Tulip,2,690,15.5
o000639,Lotus,2,470,18.0
o000640,Tulip,2,130,17.5
o000641,Lotus,1,480,15.0
o000642,Tulip,1,730,13.5
o000643,Lavender,1,340,18.5
o000644,Orchid,2,380,12.0
o000645,Lavender,2,300,16.0
o000646,Orchid,1,640,18.5
o000647,Lotus,2,980,17.5
o000648,Tulip,2,220,15.5
o000649,Lavender,1,930,18.5
o000650,Tulip,1,700,10.5
o000651,Orchid,1,100,10.5
o000652,Rose,2,180,13.5
o000653,Rose,1,20,13.0
o000654,Orchid,2,480,10.5
o000655,Orchid,2,850,17.5
o000656,Rose,1,690,18.5
o000657,Tulip,1,30,18.0
o000658,Lotus,2,30,18.0
o000659,Tulip,1,140,11.5
o000660,Orchid,1,310,13.0
o000661,Orchid,2,460,14.0
o000662,Tulip,1,480,16.0
o000663,Tulip,1,900,13.5
o000664,Lotus,1,840,10.5
o000665,Rose,2,490,16.0
o000666,Orchid,2,80,10.0
o000667,Lavender,1,640,16.5
o000668,Lotus,1,680,10.5
o000669,Lavender,1,890,19.0
o000670,Tulip,2,60,11.0
o000671,Lotus,1,230,15.0
o000672,Rose,1,760,12.0
o000673,Tulip,1,390,12.5
o000674,Orchid,1,730,16.0
o000675,Orchid,2,500,12.0
o000676,Rose,2,70,11.5
o000677,Tulip,1,100,15.0
o000678,Orchid,2,1000,15.0
o000679,Rose,2,580,17.5
o000680,Lavender,2,710,16.0
o000681,Tulip,1,880,19.0
o000682,Tulip,1,990,19.5
o000683,Lotus,1,920,11.0
o000684,Rose,2,200,16.0
o000685,Lavender,2,410,15.5
o000686,Rose,1,10,14.5
o000687,Tulip,2,980,14.0
o000688,Rose,1,120,12.5
o000689,Tulip,2,720,18.5
o000690,Orchid,2,140,10.0
o000691,Rose,2,710,11.0
o000692,Orchid,2,500,10.0
o000693,Lotus,2,500,11.0
o000694,Orchid,1,740,18.0
o000695,Lavender,2,220,12.0
o000696,Lotus,2,350,17.5
o000697,Lavender,1,220,16.5
o000698,Lotus,2,390,17.5
o000699,Rose,2,330,13.5
o000700,Tulip,1,590,11.5
o000701,Lavender,2,10,16.0
o000702,Lotus,2,430,17.0
o000703,Lotus,2,840,19.5
o000704,Lavender,2,420,19.5
o000705,Lavender,2,410,12.5
o000706,Tulip,2,380,17.5
o000707,Orchid,1,420,16.0
o000708,Lotus,2,470,11.5
o000709,Orchid,1,760,18.5
o000710,Lavender,1,940,17.0
o000711,Lavender,2,380,11.0
o000712,Tulip,2,180,14.5
o000713,Lavender,2,850,12.0
o000714,Tulip,2,100,17.0
o000715,Orchid,2,750,16.0
o000716,Orchid,2,700,10.5
o000717,Lotus,1,140,13.5
o000718,Lotus,1,830,19.5
o000719,Rose,2,970,15.0
o000720,Tulip,1,20,11.5
o000721,Lotus,1,660,18.0
o000722,Orchid,1,580,15.5
o000723,Tulip,2,990,19.0
o000724,Orchid,1,450,10.0
o000725,Tulip,1,380,16.5
o000726,Rose,1,940,12.0
o000727,Lotus,2,440,17.0
o000728,Lavender,2,450,17.5
o000729,Rose,2,930,17.0
o000730,Lotus,1,390,10.5
o000731,Rose,1,440,11.5
o000732,Lavender,1,670,12.5
o000733,Orchid,1,430,18.5
o000734,Tulip,2,300,16.0
o000735,Lavender,1,820,16.5
o000736,Tulip,1,950,19.5
o000737,Lavender,2,760,16.5
o000738,Tulip,1,910,13.0
o000739,Lavender,2,970,11.0
o000740,Orchid,1,690,12.5
o000741,Lotus,2,260,17.0
o000742,Rose,2,860,17.5
o000743,Orchid,2,770,16.0
o000744,Orchid,2,760,11.5
o000745,Lotus,2,590,19.5
o000746,Lavender,2,790,19.0
o000747,Rose,1,410,11.5
o000748,Lavender,2,150,12.5
o000749,Lotus,1,660,16.0
o000750,Tulip,1,740,16.0
o000751,Tulip,1,630,18.5
o000752,Lavender,1,630,14.5
o000753,Lavender,1,410,17.0
o000754,Orchid,1,460,10.0
o000755,Tulip,1,250,16.0
o000756,Orchid,2,530,17.5
o000757,Tulip,2,630,12.5
o000758,Rose,1,980,13.5
o000759,Lotus,1,360,13.5
o000760,Orchid,2,220,17.0
o000761,Orchid,2,710,18.0
o000762,Rose,1,350,18.5
o000763,Lotus,1,980,17.0
o000764,Orchid,1,550,11.5
o000765,Lavender,2,50,17.0
o000766,Lotus,2,120,17.0
o000767,Rose,1,270,19.0
o000768,Lotus,2,220,19.5
o000769,Lavender,1,270,10.5
o000770,Orchid,2,690,14.0
o000771,Orchid,1,420,14.5
o000772,Lotus,2,660,11.5
o000773,Lavender,2,80,14.0
o000774,Lavender,1,320,12.0
o000775,Lotus,1,980,16.0
o000776,Tulip,1,740,14.0
o000777,Tulip,2,580,11.0
o000778,Rose,2,660,14.0
o000779,Lotus,2,630,15.0
o000780,Orchid,1,1000,11.0
o000781,Tulip,2,90,18.5
o000782,Tulip,1,550,13.0
o000783,Tulip,2,420,14.5
o000784,Lotus,1,730,17.5
o000785,Lotus,1,60,11.5
o000786,Tulip,1,160,12.5
o000787,Tulip,2,10,16.5
o000788,Lavender,1,840,14.5
o000789,Lavender,2,120,15.5
o000790,Lotus,1,480,12.5
o000791,Rose,2,810,14.5
o000792,Lavender,2,840,11.0
o000793,Rose,1,280,17.5
o000794,Rose,1,760,13.5
o000795,Orchid,2,20,10.0
o000796,Lotus,1,550,12.0
o000797,Tulip,1,300,16.0
o000798,Rose,1,140,15.0
o000799,Lotus,2,180,16.0
o000800,Lavender,1,90,18.0
o000801,Orchid,1,790,12.5
o000802,Tulip,2,930,13.0
o000803,Lavender,2,790,17.0
o000804,Lavender,1,130,12.0
o000805,Rose,2,450,16.5
o000806,Lotus,1,320,14.0
o000807,Rose,1,710,19.5
o000808,Orchid,2,1000,10.0
o000809,Lotus,1,670,19.5
o000810,Orchid,1,960,16.0
o000811,Lotus,1,310,17.5
o000812,Tulip,1,310,17.5
o000813,Orchid,1,680,10.0
o000814,Lotus,2,170,16.0
o000815,Orchid,2,470,18.5
o000816,Lavender,2,990,11.0
o000817,Rose,1,20,14.0
o000818,Lavender,1,80,16.0
o000819,Orchid,2,810,18.0
o000820,Tulip,2,900,16.0
o000821,Rose,1,360,11.0
o000822,Lotus,1,660,13.0
o000823,Lavender,2,510,19.0
o000824,Rose,2,900,16.5
o000825,Lavender,1,320,11.0
o000826,Tulip,1,590,19.5
o000827,Orchid,1,400,12.5
o000828,Rose,1,910,12.0
